user,time,error,menu
1,2.58,2,toolglass
2,2.1,5,toolglass
3,3.05,6,toolglass
4,2.61,6,toolglass
5,2.36,5,toolglass
6,2.35,3,toolglass
7,2.58,1,toolglass
8,2.36,7,toolglass
9,2.5,4,toolglass
10,2.55,2,toolglass
1,2.33,21,flowmenu
2,1.8,11,flowmenu
3,3.1,12,flowmenu
4,2.83,19,flowmenu
5,2.25,31,flowmenu
6,2.24,28,flowmenu
7,2.64,6,flowmenu
8,2.18,31,flowmenu
9,2.23,25,flowmenu
10,2.38,13,flowmenu
1,2.62,24,toolpalette
2,2.45,5,toolpalette
3,3.15,13,toolpalette
4,2.83,6,toolpalette
5,2.79,19,toolpalette
6,2.64,9,toolpalette
7,2.69,7,toolpalette
8,2.71,3,toolpalette
9,2.77,18,toolpalette
10,2.65,24,toolpalette
1,2.12,25,controlmenu
2,1.75,29,controlmenu
3,3.0,14,controlmenu
4,2.64,26,controlmenu
5,2.65,14,controlmenu
6,2.23,16,controlmenu
7,2.42,15,controlmenu
8,2.59,21,controlmenu
9,2.52,27,controlmenu
10,2.22,10,controlmenu
